,Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min,sofifa_id,player_url,short_name,long_name,age,nationality,club_name,league_name,player_positions,potential,weight_kg,foot,best_overall,best_position,growth,joined,loan_date_end,value,wage,release_clause,total_attacking,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,total_skill,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,total_movement,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,total_power,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,total_mentality,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,total_defending,defending_marking,defending_standing_tackle,defending_sliding_tackle,total_goalkeeping,gk_diving,gk_handling,gk_positioning,gk_reflexes,total_stats,base_stats,weak_foot,skill_moves,attacking_work_rate,defensive_work_rate,international_reputation,pace_/_diving,shooting_/_handling,passing_/_kicking,dribbling_/_reflexes,defending_/_pace,physical_/_positioning,season
20,2020-2021,Manchester United,Luke Shaw,2647,48,31,17,0.0064223649414431,205988.0,/player/205988/luke-shaw/210064/,L. Shaw,Luke Shaw,24.0,England,Manchester United,[England] Premier Le,LWB,85.0,75kg / 165lbs,Left,83.0,LWB,3.0,"Jun 27, 2014",,€38.5M,€105K,€76M,341.0,84.0,44.0,78.0,81.0,54.0,366.0,80.0,83.0,54.0,69.0,80.0,392.0,77.0,81.0,76.0,81.0,77.0,360.0,70.0,80.0,79.0,77.0,54.0,364.0,84.0,78.0,78.0,80.0,44.0,82.0,245.0,83.0,83.0,79.0,49.0,10.0,12.0,7.0,7.0,2117.0,450.0,2.0,3.0,High,Medium,2.0,79.0,53.0,78.0,80.0,81.0,79.0,2020-2021
21,2020-2021,Manchester United,Aaron Wan-Bissaka,3060,64,35,29,0.0094771241830065,229880.0,/player/229880/aaron-wan-bissaka/210064/,A. Wan-Bissaka,Aaron Wan-Bissaka,22.0,England,Manchester United,[England] Premier Le,RWB,87.0,72kg / 159lbs,Right,84.0,RWB,4.0,"Jun 29, 2019",,€49.5M,€115K,€97.8M,294.0,75.0,46.0,55.0,75.0,43.0,333.0,81.0,73.0,45.0,58.0,76.0,411.0,84.0,88.0,85.0,82.0,72.0,336.0,70.0,67.0,81.0,72.0,46.0,353.0,78.0,83.0,70.0,66.0,56.0,76.0,257.0,80.0,86.0,91.0,39.0,9.0,8.0,8.0,8.0,2023.0,443.0,2.0,4.0,Medium,High,1.0,86.0,52.0,69.0,80.0,81.0,75.0,2020-2021
22,2020-2021,Manchester United,Scott McTominay,2107,47,23,24,0.0113906027527289,237238.0,/player/237238/scott-mctominay/210064/,S. McTominay,Scott McTominay,23.0,Scotland,Manchester United,[England] Premier Le,CDM,85.0,88kg / 194lbs,Right,81.0,CDM,5.0,"Jul 1, 2013",,€29M,€90K,€57.3M,360.0,70.0,70.0,78.0,80.0,62.0,360.0,78.0,72.0,55.0,78.0,77.0,343.0,67.0,68.0,67.0,79.0,62.0,405.0,85.0,70.0,85.0,84.0,81.0,370.0,88.0,76.0,71.0,75.0,60.0,78.0,229.0,74.0,81.0,74.0,42.0,9.0,6.0,10.0,11.0,2109.0,454.0,3.0,3.0,High,High,1.0,68.0,74.0,75.0,76.0,77.0,84.0,2020-2021
23,2020-2021,Manchester United,Dean Henderson,1124,26,12,14,0.0124555160142348,233306.0,/player/233306/dean-henderson/210064/,D. Henderson,Dean Henderson,23.0,England,Manchester United,[England] Premier Le,GK,87.0,85kg / 187lbs,Right,80.0,GK,7.0,"Aug 25, 2015",,€36M,€70K,€75.6M,78.0,14.0,9.0,13.0,37.0,5.0,113.0,13.0,13.0,10.0,45.0,32.0,295.0,51.0,48.0,61.0,79.0,56.0,219.0,56.0,63.0,34.0,60.0,6.0,89.0,21.0,11.0,8.0,33.0,16.0,56.0,45.0,17.0,14.0,14.0,394.0,80.0,79.0,77.0,83.0,1233.0,443.0,3.0,1.0,Medium,Medium,1.0,80.0,79.0,75.0,83.0,49.0,77.0,2020-2021
24,2020-2021,Manchester United,Eric Bailly,908,15,15,0,0.0,225508.0,/player/225508/eric-bailly/210064/,E. Bailly,Eric Bailly,26.0,Côte d'Ivoire,Manchester United,[England] Premier Le,CB,82.0,77kg / 170lbs,Right,81.0,CB,3.0,"Jul 1, 2016",,€20.5M,€100K,€40.5M,272.0,51.0,33.0,78.0,68.0,42.0,276.0,64.0,46.0,43.0,60.0,63.0,354.0,69.0,77.0,69.0,78.0,61.0,332.0,55.0,84.0,60.0,85.0,48.0,313.0,85.0,80.0,47.0,55.0,46.0,78.0,237.0,76.0,80.0,81.0,55.0,14.0,14.0,9.0,8.0,1839.0,396.0,3.0,3.0,Medium,High,2.0,73.0,42.0,58.0,65.0,79.0,79.0,2020-2021
25,2020-2021,Manchester United,Juan Mata,509,13,5,8,0.0157170923379174,178088.0,/player/178088/juan-manuel-mata-garcia/210064/,Juan Mata,Juan Manuel Mata García,32.0,Spain,Manchester United,[England] Premier Le,CAM,78.0,63kg / 139lbs,Left,78.0,CAM,0.0,"Jan 25, 2014",,€11M,€100K,€20.9M,359.0,79.0,70.0,56.0,83.0,71.0,411.0,80.0,85.0,84.0,78.0,84.0,358.0,60.0,53.0,76.0,80.0,89.0,289.0,72.0,58.0,56.0,34.0,69.0,328.0,46.0,39.0,80.0,83.0,80.0,84.0,90.0,38.0,31.0,21.0,46.0,9.0,10.0,5.0,8.0,1881.0,369.0,3.0,4.0,Medium,Medium,3.0,56.0,71.0,82.0,81.0,36.0,43.0,2020-2021
26,2020-2021,Manchester United,Marcus Rashford,2922,55,37,18,0.0061601642710472,231677.0,/player/231677/marcus-rashford/210064/,M. Rashford,Marcus Rashford,22.0,England,Manchester United,[England] Premier Le,CAM,91.0,70kg / 154lbs,Right,86.0,CAM,6.0,"Jul 1, 2014",,€86.5M,€150K,€181.7M,388.0,80.0,85.0,68.0,82.0,73.0,404.0,88.0,83.0,76.0,72.0,85.0,427.0,89.0,93.0,85.0,85.0,75.0,411.0,92.0,75.0,87.0,76.0,81.0,361.0,73.0,42.0,83.0,82.0,81.0,80.0,116.0,45.0,38.0,33.0,53.0,11.0,6.0,7.0,14.0,2160.0,463.0,3.0,5.0,High,Medium,2.0,91.0,85.0,80.0,86.0,43.0,78.0,2020-2021
27,2020-2021,Manchester United,Alex Telles,692,15,11,4,0.0057803468208092,212462.0,/player/212462/alex-nicolao-telles/210064/,Alex Telles,Alex Nicolao Telles,27.0,Brazil,Manchester United,[England] Premier Le,LB,83.0,71kg / 157lbs,Left,83.0,LB,0.0,"Oct 5, 2020",,€35M,€135K,€66.5M,368.0,87.0,65.0,70.0,82.0,64.0,410.0,78.0,87.0,79.0,85.0,81.0,392.0,82.0,84.0,75.0,81.0,70.0,407.0,87.0,81.0,88.0,68.0,83.0,390.0,76.0,79.0,76.0,78.0,81.0,76.0,232.0,77.0,78.0,77.0,58.0,13.0,8.0,11.0,14.0,2257.0,470.0,2.0,3.0,High,Medium,3.0,83.0,74.0,83.0,78.0,77.0,75.0,2020-2021
28,2020-2021,Manchester United,Nemanja Matić,1089,19,17,2,0.0018365472910927,191202.0,/player/191202/nemanja-matic/210064/,N. Matić,Nemanja Matić,31.0,Serbia,Manchester United,[England] Premier Le,CDM,79.0,83kg / 183lbs,Left,79.0,CDM,0.0,"Jul 31, 2017",,€12.5M,€100K,€23.8M,359.0,70.0,59.0,75.0,82.0,73.0,375.0,77.0,70.0,67.0,82.0,79.0,259.0,42.0,45.0,47.0,78.0,47.0,363.0,84.0,63.0,61.0,83.0,72.0,352.0,76.0,80.0,64.0,68.0,64.0,83.0,235.0,82.0,81.0,72.0,57.0,7.0,15.0,14.0,9.0,2000.0,415.0,3.0,3.0,Low,Medium,3.0,44.0,68.0,75.0,73.0,80.0,75.0,2020-2021
29,2020-2021,Manchester United,Donny van de Beek,475,15,10,5,0.0105263157894736,221363.0,/player/221363/donny-van-de-beek/210064/,D. van de Beek,Donny van de Beek,23.0,Netherlands,Manchester United,[England] Premier Le,CM,86.0,74kg / 163lbs,Right,83.0,CM,5.0,"Sep 2, 2020",,€38.5M,€110K,€76M,375.0,67.0,78.0,69.0,81.0,80.0,382.0,76.0,78.0,65.0,78.0,85.0,365.0,67.0,73.0,75.0,81.0,69.0,394.0,83.0,71.0,86.0,76.0,78.0,371.0,76.0,73.0,80.0,79.0,63.0,84.0,213.0,72.0,73.0,68.0,51.0,7.0,12.0,10.0,14.0,2151.0,453.0,3.0,3.0,High,Medium,3.0,70.0,78.0,76.0,79.0,72.0,78.0,2020-2021
