,Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min,sofifa_id,player_url,short_name,long_name,age,nationality,club_name,league_name,player_positions,potential,weight_kg,foot,best_overall,best_position,growth,joined,loan_date_end,value,wage,release_clause,total_attacking,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,total_skill,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,total_movement,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,total_power,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,total_mentality,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,total_defending,defending_marking,defending_standing_tackle,defending_sliding_tackle,total_goalkeeping,gk_diving,gk_handling,gk_positioning,gk_reflexes,total_stats,base_stats,weak_foot,skill_moves,attacking_work_rate,defensive_work_rate,international_reputation,pace_/_diving,shooting_/_handling,passing_/_kicking,dribbling_/_reflexes,defending_/_pace,physical_/_positioning,season
65,2017-2018,Manchester United,Marcus Rashford,1776,33,15,18,0.0101351351351351,231677.0,/player/231677/marcus-rashford/180084/,M. Rashford,Marcus Rashford,19.0,England,Manchester United,[England] Premier Le,RM,90.0,70kg / 154lbs,Right,81.0,RM,9.0,"Jul 1, 2014",,€26.5M,€70K,€54.3M,375.0,77.0,79.0,72.0,75.0,72.0,385.0,85.0,77.0,78.0,65.0,80.0,432.0,93.0,92.0,90.0,79.0,78.0,375.0,85.0,63.0,83.0,73.0,71.0,338.0,67.0,42.0,81.0,74.0,74.0,74.0,99.0,29.0,37.0,33.0,53.0,11.0,6.0,7.0,14.0,2057.0,440.0,4.0,4.0,High,Medium,2.0,92.0,78.0,74.0,83.0,39.0,74.0,2017-2018
66,2017-2018,Manchester United,Scott McTominay,613,8,2,6,0.0097879282218597,237238.0,/player/237238/scott-mctominay/180084/,S. McTominay,Scott McTominay,20.0,Scotland,Manchester United,[England] Premier Le,CDM,81.0,88kg / 194lbs,Right,67.0,CDM,13.0,"Jul 1, 2013",,€1.7M,€40K,€4.2M,318.0,66.0,55.0,70.0,74.0,53.0,278.0,61.0,50.0,34.0,65.0,68.0,314.0,68.0,70.0,62.0,62.0,52.0,345.0,67.0,65.0,73.0,79.0,61.0,326.0,72.0,66.0,63.0,66.0,59.0,70.0,183.0,60.0,64.0,59.0,42.0,9.0,6.0,10.0,11.0,1806.0,395.0,3.0,2.0,Medium,Medium,1.0,69.0,59.0,66.0,63.0,63.0,75.0,2017-2018
67,2017-2018,Manchester United,Phil Jones,1975,37,10,27,0.0136708860759493,194957.0,/player/194957/phil-jones/180084/,P. Jones,Phil Jones,25.0,England,Manchester United,[England] Premier Le,CB,81.0,71kg / 157lbs,Right,79.0,CB,1.0,"Jul 1, 2011",,€14.5M,€110K,€27.9M,327.0,64.0,50.0,78.0,75.0,60.0,268.0,60.0,38.0,35.0,67.0,68.0,317.0,60.0,65.0,54.0,79.0,59.0,366.0,68.0,83.0,75.0,81.0,59.0,322.0,85.0,81.0,42.0,59.0,55.0,72.0,241.0,78.0,81.0,82.0,51.0,10.0,8.0,16.0,11.0,1892.0,407.0,3.0,2.0,Medium,High,2.0,63.0,56.0,65.0,63.0,80.0,80.0,2017-2018
68,2017-2018,Manchester United,Paul Pogba,2162,48,19,29,0.0134135060129509,195864.0,/player/195864/paul-pogba/180084/,P. Pogba,Paul Pogba,24.0,France,Manchester United,[England] Premier Le,CM,92.0,84kg / 185lbs,Right,85.0,CM,4.0,"Aug 9, 2016",,€76M,€250K,€146.3M,400.0,80.0,73.0,75.0,87.0,85.0,430.0,87.0,84.0,82.0,88.0,89.0,376.0,75.0,78.0,76.0,84.0,63.0,439.0,90.0,85.0,91.0,91.0,82.0,395.0,78.0,70.0,83.0,88.0,76.0,87.0,202.0,64.0,70.0,68.0,20.0,5.0,6.0,4.0,3.0,2262.0,484.0,4.0,5.0,High,Low,4.0,77.0,79.0,86.0,85.0,69.0,88.0,2017-2018
69,2017-2018,Manchester United,Jesse Lingard,1812,40,17,23,0.0126931567328918,207494.0,/player/207494/jesse-lingard/180084/,J. Lingard,Jesse Lingard,24.0,England,Manchester United,[England] Premier Le,CAM,84.0,62kg / 137lbs,Right,81.0,CAM,3.0,"Jul 1, 2010",,€22.5M,€110K,€43.3M,356.0,72.0,78.0,64.0,78.0,64.0,364.0,83.0,77.0,56.0,65.0,83.0,419.0,85.0,83.0,85.0,82.0,84.0,369.0,78.0,65.0,85.0,61.0,80.0,353.0,73.0,53.0,84.0,78.0,65.0,79.0,146.0,52.0,50.0,44.0,54.0,14.0,10.0,13.0,9.0,2061.0,440.0,3.0,3.0,High,High,2.0,84.0,77.0,74.0,83.0,52.0,70.0,2017-2018
70,2017-2018,Manchester United,Ander Herrera,1249,20,14,6,0.0048038430744595,191740.0,/player/191740/ander-herrera-aguera/180084/,Ander Herrera,Ander Herrera Agüera,27.0,Spain,Manchester United,[England] Premier Le,CM,83.0,70kg / 154lbs,Right,83.0,CM,0.0,"Jun 26, 2014",,€26.5M,€140K,€49M,359.0,74.0,71.0,60.0,85.0,69.0,390.0,80.0,80.0,65.0,80.0,85.0,397.0,76.0,70.0,84.0,85.0,82.0,365.0,75.0,63.0,88.0,70.0,69.0,413.0,86.0,87.0,78.0,83.0,79.0,84.0,235.0,80.0,79.0,76.0,53.0,9.0,12.0,9.0,8.0,2212.0,463.0,4.0,3.0,High,High,3.0,73.0,72.0,80.0,82.0,79.0,77.0,2017-2018
71,2017-2018,Manchester United,Luke Shaw,788,14,2,12,0.015228426395939,205988.0,/player/205988/luke-shaw/180084/,L. Shaw,Luke Shaw,21.0,England,Manchester United,[England] Premier Le,LB,83.0,75kg / 165lbs,Left,78.0,LB,5.0,"Jun 27, 2014",,€11.5M,€80K,€22.1M,324.0,80.0,44.0,67.0,75.0,58.0,341.0,79.0,63.0,58.0,64.0,77.0,397.0,83.0,85.0,78.0,76.0,75.0,338.0,62.0,71.0,74.0,79.0,52.0,345.0,74.0,78.0,73.0,67.0,53.0,73.0,230.0,74.0,79.0,77.0,49.0,10.0,12.0,7.0,7.0,2024.0,437.0,2.0,2.0,High,Medium,2.0,84.0,52.0,71.0,78.0,76.0,76.0,2017-2018
72,2017-2018,Manchester United,Antonio Valencia,2743,56,20,36,0.0131243164418519,167905.0,/player/167905/antonio-valencia/180084/,A. Valencia,Antonio Valencia,31.0,Ecuador,Manchester United,[England] Premier Le,RWB,83.0,83kg / 183lbs,Right,83.0,RWB,0.0,"Jun 30, 2009",,€17M,€130K,€31.5M,357.0,83.0,60.0,64.0,80.0,70.0,367.0,81.0,69.0,66.0,70.0,81.0,419.0,88.0,87.0,75.0,86.0,83.0,394.0,85.0,70.0,88.0,85.0,66.0,365.0,84.0,82.0,73.0,71.0,55.0,83.0,239.0,78.0,83.0,78.0,51.0,16.0,11.0,7.0,7.0,2192.0,475.0,2.0,3.0,High,High,2.0,87.0,67.0,76.0,81.0,79.0,85.0,2017-2018
73,2016-2017,Manchester United,Eric Bailly,2107,36,17,19,0.0090175605125771,225508.0,/player/225508/eric-bailly/170099/,E. Bailly,Eric Bailly,22.0,Côte d'Ivoire,Manchester United,[England] Premier Le,CB,90.0,77kg / 170lbs,Right,82.0,CB,7.0,"Jul 1, 2016",,€28.5M,€100K,€0,261.0,41.0,33.0,79.0,72.0,36.0,271.0,59.0,46.0,43.0,60.0,63.0,382.0,81.0,83.0,76.0,77.0,65.0,356.0,55.0,86.0,83.0,84.0,48.0,310.0,86.0,85.0,44.0,49.0,46.0,74.0,255.0,83.0,85.0,87.0,55.0,14.0,14.0,9.0,8.0,1890.0,412.0,3.0,2.0,Medium,High,2.0,82.0,42.0,57.0,63.0,84.0,84.0,2016-2017
74,2016-2017,Manchester United,Phil Jones,1585,25,13,12,0.007570977917981,194957.0,/player/194957/phil-jones/170099/,P. Jones,Phil Jones,24.0,England,Manchester United,[England] Premier Le,CB,83.0,71kg / 157lbs,Right,79.0,CB,3.0,"Jul 1, 2011",,€15.5M,€100K,€0,324.0,64.0,50.0,75.0,75.0,60.0,269.0,60.0,38.0,35.0,67.0,69.0,306.0,55.0,68.0,43.0,78.0,62.0,370.0,68.0,83.0,80.0,80.0,59.0,320.0,85.0,79.0,42.0,59.0,55.0,73.0,245.0,81.0,82.0,82.0,51.0,10.0,8.0,16.0,11.0,1885.0,406.0,3.0,2.0,Medium,High,2.0,62.0,56.0,65.0,62.0,80.0,81.0,2016-2017
75,2016-2017,Manchester United,Paul Pogba,2789,46,24,22,0.0078881319469343,195864.0,/player/195864/paul-pogba/170099/,P. Pogba,Paul Pogba,23.0,France,Manchester United,[England] Premier Le,CAM,94.0,84kg / 185lbs,Right,85.0,CAM,6.0,"Aug 9, 2016",,€71.5M,€225K,€0,391.0,78.0,71.0,73.0,85.0,84.0,433.0,89.0,84.0,82.0,88.0,90.0,380.0,75.0,79.0,79.0,86.0,61.0,444.0,90.0,85.0,91.0,91.0,87.0,389.0,72.0,70.0,84.0,87.0,76.0,83.0,214.0,68.0,73.0,73.0,20.0,5.0,6.0,4.0,3.0,2271.0,486.0,4.0,5.0,High,Medium,4.0,77.0,80.0,84.0,87.0,71.0,87.0,2016-2017
76,2016-2017,Manchester United,Wayne Rooney,1548,25,16,9,0.005813953488372,54050.0,/player/54050/wayne-rooney/170099/,W. Rooney,Wayne Rooney,30.0,England,Manchester United,[England] Premier Le,ST,82.0,83kg / 183lbs,Right,80.0,ST,0.0,"Aug 31, 2004",,€18.5M,€130K,€0,399.0,78.0,82.0,75.0,79.0,85.0,405.0,76.0,84.0,81.0,84.0,80.0,377.0,69.0,73.0,76.0,82.0,77.0,414.0,86.0,80.0,82.0,83.0,83.0,377.0,81.0,54.0,82.0,81.0,79.0,88.0,139.0,48.0,54.0,37.0,49.0,10.0,11.0,8.0,7.0,2160.0,447.0,4.0,3.0,Medium,Medium,4.0,71.0,83.0,80.0,78.0,53.0,82.0,2016-2017
77,2016-2017,Manchester United,Jesse Lingard,1485,23,15,8,0.0053872053872053,207494.0,/player/207494/jesse-lingard/170099/,J. Lingard,Jesse Lingard,23.0,England,Manchester United,[England] Premier Le,RM,81.0,62kg / 137lbs,Right,78.0,RM,3.0,"Jul 1, 2010",,€10.5M,€90K,€0,343.0,71.0,72.0,61.0,75.0,64.0,353.0,78.0,72.0,56.0,65.0,82.0,413.0,85.0,84.0,84.0,76.0,84.0,346.0,74.0,65.0,81.0,54.0,72.0,328.0,63.0,47.0,78.0,75.0,65.0,65.0,136.0,49.0,46.0,41.0,54.0,14.0,10.0,13.0,9.0,1973.0,419.0,3.0,3.0,High,Medium,1.0,84.0,72.0,72.0,80.0,48.0,63.0,2016-2017
78,2016-2017,Manchester United,Anthony Martial,1565,20,14,6,0.0038338658146964,211300.0,/player/211300/anthony-martial/170099/,A. Martial,Anthony Martial,20.0,France,Manchester United,[England] Premier Le,ST,90.0,76kg / 168lbs,Right,81.0,ST,8.0,"Sep 1, 2015",,€29M,€100K,€0,372.0,73.0,80.0,70.0,75.0,74.0,360.0,88.0,76.0,54.0,58.0,84.0,434.0,92.0,91.0,85.0,81.0,85.0,396.0,84.0,80.0,80.0,80.0,72.0,321.0,59.0,42.0,79.0,70.0,71.0,78.0,112.0,35.0,39.0,38.0,51.0,9.0,8.0,15.0,11.0,2046.0,442.0,4.0,4.0,High,Low,3.0,91.0,78.0,70.0,86.0,41.0,76.0,2016-2017
79,2016-2017,Manchester United,Michael Carrick,1600,21,14,7,0.004375,21146.0,/player/21146/michael-carrick/170099/,M. Carrick,Michael Carrick,34.0,England,Manchester United,[England] Premier Le,CM,82.0,74kg / 163lbs,Right,80.0,CM,0.0,"Aug 31, 2006",,€6M,€120K,€0,358.0,72.0,59.0,73.0,87.0,67.0,363.0,71.0,68.0,59.0,85.0,80.0,311.0,53.0,52.0,58.0,85.0,63.0,356.0,78.0,72.0,69.0,66.0,71.0,365.0,67.0,83.0,66.0,85.0,64.0,85.0,226.0,75.0,79.0,72.0,60.0,13.0,12.0,15.0,9.0,2039.0,416.0,3.0,2.0,Low,High,3.0,52.0,66.0,81.0,73.0,77.0,67.0,2016-2017
80,2016-2017,Manchester United,Daley Blind,2009,27,20,7,0.0034843205574912,190815.0,/player/190815/daley-blind/170099/,D. Blind,Daley Blind,26.0,Netherlands,Manchester United,[England] Premier Le,CDM,82.0,72kg / 159lbs,Left,81.0,CDM,1.0,"Sep 1, 2014",,€16M,€110K,€0,337.0,77.0,46.0,71.0,81.0,62.0,376.0,73.0,80.0,62.0,81.0,80.0,356.0,65.0,58.0,73.0,85.0,75.0,362.0,68.0,71.0,86.0,73.0,64.0,355.0,70.0,86.0,64.0,79.0,56.0,86.0,243.0,82.0,84.0,77.0,55.0,12.0,9.0,14.0,10.0,2084.0,430.0,4.0,2.0,Medium,High,3.0,61.0,56.0,79.0,76.0,82.0,76.0,2016-2017
81,2015-2016,Manchester United,David de Gea,3060,44,31,13,0.0042483660130718,193080.0,/player/193080/david-de-gea-quintana/160058/,De Gea,David de Gea,24.0,Spain,Manchester United,[England] Premier Le,GK,90.0,82kg / 181lbs,Right,86.0,GK,3.0,"Jul 1, 2011",,€49M,€180K,€0,95.0,17.0,13.0,21.0,31.0,13.0,116.0,13.0,21.0,19.0,32.0,31.0,290.0,51.0,55.0,57.0,84.0,43.0,199.0,31.0,67.0,25.0,64.0,12.0,188.0,38.0,30.0,12.0,68.0,40.0,,47.0,13.0,21.0,13.0,429.0,88.0,81.0,85.0,89.0,1364.0,482.0,3.0,1.0,Medium,Medium,3.0,88.0,81.0,86.0,89.0,53.0,85.0,2015-2016
82,2015-2016,Manchester United,Juan Mata,2964,39,28,11,0.0037112010796221,178088.0,/player/178088/juan-manuel-mata-garcia/160058/,Juan Mata,Juan Manuel Mata García,27.0,Spain,Manchester United,[England] Premier Le,CAM,83.0,63kg / 139lbs,Left,84.0,CAM,0.0,"Jan 25, 2014",,€23M,€150K,€0,380.0,83.0,77.0,63.0,86.0,71.0,416.0,85.0,83.0,83.0,77.0,88.0,407.0,78.0,63.0,90.0,87.0,89.0,337.0,74.0,72.0,76.0,43.0,72.0,344.0,52.0,39.0,84.0,88.0,81.0,,74.0,25.0,28.0,21.0,46.0,9.0,10.0,5.0,8.0,2004.0,404.0,3.0,3.0,Medium,Medium,3.0,70.0,76.0,84.0,87.0,32.0,55.0,2015-2016
83,2015-2016,Manchester United,Wayne Rooney,2409,34,21,13,0.0053964300539643,54050.0,/player/54050/wayne-rooney/160058/,W. Rooney,Wayne Rooney,29.0,England,Manchester United,[England] Premier Le,ST,85.0,83kg / 183lbs,Right,83.0,ST,0.0,"Aug 31, 2004",,€32.5M,€170K,€0,409.0,78.0,85.0,80.0,80.0,86.0,415.0,79.0,84.0,84.0,85.0,83.0,387.0,72.0,74.0,77.0,87.0,77.0,424.0,87.0,81.0,87.0,84.0,85.0,394.0,89.0,54.0,87.0,83.0,81.0,,120.0,29.0,54.0,37.0,49.0,10.0,11.0,8.0,7.0,2198.0,452.0,4.0,3.0,Medium,High,4.0,73.0,85.0,81.0,80.0,47.0,86.0,2015-2016
84,2015-2016,Manchester United,Anthony Martial,2632,36,28,8,0.0030395136778115,211300.0,/player/211300/anthony-martial/160058/,A. Martial,Anthony Martial,19.0,France,Manchester United,[England] Premier Le,ST,86.0,76kg / 168lbs,Right,80.0,ST,8.0,"Sep 1, 2015",,€11M,€60K,€0,369.0,67.0,81.0,72.0,75.0,74.0,351.0,85.0,73.0,54.0,58.0,81.0,423.0,90.0,88.0,84.0,81.0,80.0,388.0,80.0,81.0,79.0,80.0,68.0,319.0,62.0,42.0,80.0,64.0,71.0,,56.0,21.0,18.0,17.0,51.0,9.0,8.0,15.0,11.0,1957.0,422.0,4.0,4.0,High,Medium,1.0,89.0,77.0,68.0,83.0,29.0,76.0,2015-2016
85,2015-2016,Manchester United,Chris Smalling,3150,41,29,12,0.0038095238095238,189881.0,/player/189881/chris-smalling/160058/,C. Smalling,Chris Smalling,25.0,England,Manchester United,[England] Premier Le,CB,85.0,90kg / 198lbs,Right,83.0,CB,2.0,"Jul 1, 2010",,€23.5M,€120K,€0,285.0,52.0,23.0,85.0,71.0,54.0,242.0,64.0,36.0,22.0,56.0,64.0,344.0,77.0,76.0,60.0,83.0,48.0,320.0,42.0,75.0,80.0,88.0,35.0,308.0,82.0,83.0,42.0,49.0,52.0,,258.0,85.0,88.0,85.0,71.0,10.0,15.0,15.0,15.0,1828.0,399.0,3.0,2.0,Medium,High,2.0,76.0,33.0,56.0,64.0,86.0,84.0,2015-2016
86,2015-2016,Manchester United,Jesse Lingard,1627,24,12,12,0.0073755377996312,207494.0,/player/207494/jesse-lingard/160058/,J. Lingard,Jesse Lingard,22.0,England,Manchester United,[England] Premier Le,RM,82.0,65kg / 143lbs,Right,76.0,RM,6.0,"Jul 1, 2010",,€7M,€70K,€0,329.0,66.0,73.0,58.0,78.0,54.0,342.0,76.0,65.0,54.0,65.0,82.0,411.0,85.0,82.0,84.0,76.0,84.0,328.0,66.0,65.0,79.0,58.0,60.0,301.0,56.0,35.0,76.0,71.0,63.0,,119.0,36.0,58.0,25.0,54.0,14.0,10.0,13.0,9.0,1884.0,407.0,3.0,3.0,High,Medium,1.0,83.0,68.0,70.0,79.0,44.0,63.0,2015-2016
87,2015-2016,Manchester United,Michael Carrick,1973,29,22,7,0.0035478966041561,21146.0,/player/21146/michael-carrick/160058/,M. Carrick,Michael Carrick,33.0,England,Manchester United,[England] Premier Le,CDM,80.0,74kg / 163lbs,Right,79.0,CDM,0.0,"Aug 31, 2006",,€6.5M,€80K,€0,357.0,72.0,59.0,73.0,86.0,67.0,359.0,71.0,64.0,59.0,85.0,80.0,306.0,53.0,52.0,58.0,80.0,63.0,356.0,78.0,72.0,69.0,66.0,71.0,361.0,67.0,86.0,59.0,85.0,64.0,,223.0,74.0,77.0,72.0,60.0,13.0,12.0,15.0,9.0,2022.0,414.0,3.0,2.0,Low,Medium,3.0,52.0,66.0,80.0,72.0,77.0,67.0,2015-2016
88,2015-2016,Manchester United,Daley Blind,3117,41,33,8,0.0025665704202759,190815.0,/player/190815/daley-blind/160058/,D. Blind,Daley Blind,25.0,Netherlands,Manchester United,[England] Premier Le,CDM,81.0,72kg / 159lbs,Left,81.0,CDM,2.0,"Sep 1, 2014",,€10.5M,€100K,€0,325.0,65.0,46.0,69.0,83.0,62.0,358.0,73.0,70.0,55.0,80.0,80.0,350.0,65.0,58.0,73.0,84.0,70.0,368.0,68.0,71.0,92.0,73.0,64.0,351.0,68.0,84.0,66.0,77.0,56.0,,241.0,80.0,84.0,77.0,55.0,12.0,9.0,14.0,10.0,2048.0,427.0,4.0,3.0,High,High,3.0,61.0,56.0,76.0,76.0,81.0,77.0,2015-2016
89,2015-2016,Manchester United,Marcus Rashford,862,13,7,6,0.0069605568445475,231677.0,/player/231677/marcus-rashford/160058/,M. Rashford,Marcus Rashford,17.0,England,Manchester United,[England] Premier Le,CF,85.0,70kg / 154lbs,Right,70.0,CF,16.0,"Jul 1, 2014",,€2M,€9K,€0,296.0,48.0,70.0,63.0,64.0,51.0,316.0,75.0,64.0,65.0,46.0,66.0,384.0,87.0,85.0,79.0,63.0,70.0,317.0,67.0,70.0,65.0,57.0,58.0,297.0,48.0,38.0,73.0,64.0,74.0,,62.0,22.0,20.0,20.0,53.0,11.0,6.0,7.0,14.0,1725.0,369.0,3.0,3.0,High,Medium,1.0,86.0,66.0,58.0,72.0,29.0,58.0,2015-2016
90,2015-2016,Manchester United,Antonio Valencia,836,14,5,9,0.0107655502392344,167905.0,/player/167905/antonio-valencia/160058/,A. Valencia,Antonio Valencia,29.0,Ecuador,Manchester United,[England] Premier Le,RM,75.0,78kg / 172lbs,Right,77.0,RM,0.0,"Jun 30, 2009",,€3M,€60K,€0,344.0,82.0,58.0,60.0,75.0,69.0,365.0,82.0,69.0,66.0,69.0,79.0,399.0,79.0,83.0,79.0,79.0,79.0,362.0,82.0,64.0,82.0,75.0,59.0,347.0,80.0,70.0,72.0,70.0,55.0,,201.0,65.0,69.0,67.0,51.0,16.0,11.0,7.0,7.0,2069.0,444.0,1.0,3.0,High,High,3.0,81.0,64.0,74.0,81.0,67.0,77.0,2015-2016
91,2015-2016,Manchester United,Cameron Borthwick-Jackson,692,12,4,8,0.0115606936416184,231535.0,/player/231535/cameron-borthwick-jackson/160058/,C. Borthwick-Jackson,Cameron Borthwick-Jackson,18.0,England,Manchester United,[England] Premier Le,LB,79.0,82kg / 181lbs,Left,67.0,LB,12.0,"Jul 1, 2013",,€950K,€8K,€0,280.0,73.0,34.0,65.0,69.0,39.0,302.0,64.0,74.0,37.0,62.0,65.0,319.0,74.0,72.0,56.0,55.0,62.0,285.0,45.0,73.0,68.0,64.0,35.0,258.0,57.0,62.0,43.0,50.0,46.0,,206.0,63.0,74.0,69.0,45.0,6.0,11.0,11.0,9.0,1695.0,369.0,3.0,2.0,Medium,Medium,1.0,73.0,38.0,64.0,63.0,67.0,64.0,2015-2016
92,2015-2016,Manchester United,Phil Jones,519,7,4,3,0.0057803468208092,194957.0,/player/194957/phil-jones/160058/,P. Jones,Phil Jones,23.0,England,Manchester United,[England] Premier Le,CB,84.0,71kg / 157lbs,Right,80.0,CB,4.0,"Jul 1, 2011",,€16M,€90K,€0,326.0,64.0,50.0,77.0,75.0,60.0,269.0,60.0,38.0,35.0,67.0,69.0,310.0,63.0,68.0,43.0,78.0,58.0,369.0,68.0,84.0,79.0,79.0,59.0,321.0,85.0,80.0,42.0,59.0,55.0,,247.0,81.0,84.0,82.0,51.0,10.0,8.0,16.0,11.0,1893.0,410.0,3.0,2.0,Medium,High,2.0,66.0,56.0,65.0,62.0,81.0,80.0,2015-2016
93,2015-2016,Manchester United,Memphis,1466,19,19,0,0.0,202556.0,/player/202556/memphis-depay/160058/,M. Depay,Memphis,21.0,Netherlands,Manchester United,[England] Premier Le,CF,86.0,78kg / 172lbs,Right,80.0,CF,7.0,"Jul 1, 2015",,€14M,€90K,€0,337.0,67.0,73.0,55.0,73.0,69.0,407.0,85.0,85.0,90.0,65.0,82.0,427.0,91.0,89.0,82.0,81.0,84.0,400.0,88.0,74.0,79.0,78.0,81.0,299.0,62.0,21.0,76.0,74.0,66.0,,75.0,24.0,31.0,20.0,50.0,8.0,14.0,12.0,10.0,1995.0,426.0,2.0,4.0,High,Low,3.0,90.0,77.0,72.0,84.0,28.0,75.0,2015-2016
94,2015-2016,Manchester United,Ashley Young,1047,13,17,-4,-0.0038204393505253,152908.0,/player/152908/ashley-young/160058/,A. Young,Ashley Young,29.0,England,Manchester United,[England] Premier Le,RW,79.0,65kg / 143lbs,Right,79.0,RW,0.0,"Jul 1, 2011",,€9.5M,€100K,€0,354.0,84.0,69.0,51.0,75.0,75.0,389.0,83.0,84.0,72.0,68.0,82.0,405.0,85.0,82.0,84.0,77.0,77.0,335.0,77.0,57.0,69.0,56.0,76.0,321.0,47.0,60.0,70.0,79.0,65.0,,158.0,43.0,54.0,61.0,72.0,16.0,10.0,16.0,15.0,2034.0,424.0,3.0,4.0,High,High,3.0,83.0,72.0,77.0,82.0,52.0,58.0,2015-2016
95,2015-2016,Manchester United,Ander Herrera,1515,20,14,6,0.0039603960396039,191740.0,/player/191740/ander-herrera-aguera/160058/,Ander Herrera,Ander Herrera Agüera,25.0,Spain,Manchester United,[England] Premier Le,CAM,82.0,73kg / 161lbs,Right,82.0,CAM,1.0,"Jun 26, 2014",,€19M,€100K,€0,358.0,74.0,71.0,58.0,88.0,67.0,391.0,83.0,76.0,65.0,80.0,87.0,396.0,78.0,72.0,84.0,81.0,81.0,347.0,70.0,63.0,78.0,62.0,74.0,396.0,82.0,70.0,80.0,85.0,79.0,,188.0,60.0,64.0,64.0,53.0,9.0,12.0,9.0,8.0,2129.0,446.0,4.0,4.0,High,High,2.0,75.0,72.0,82.0,84.0,63.0,70.0,2015-2016
96,2014-2015,Manchester United,David de Gea,3314,60,36,24,0.0072420036210018,193080.0,/player/193080/david-de-gea-quintana/150059/,De Gea,David de Gea,23.0,Spain,Manchester United,[England] Premier Le,GK,89.0,82kg / 181lbs,Right,85.0,GK,3.0,"Jul 1, 2011",,€31M,€180K,€0,127.0,25.0,25.0,21.0,31.0,25.0,134.0,25.0,21.0,25.0,32.0,31.0,285.0,51.0,55.0,57.0,79.0,43.0,212.0,31.0,67.0,25.0,64.0,25.0,158.0,38.0,30.0,25.0,25.0,40.0,,71.0,25.0,21.0,25.0,425.0,88.0,81.0,81.0,89.0,1412.0,478.0,3.0,1.0,Medium,Medium,3.0,88.0,81.0,86.0,89.0,53.0,81.0,2014-2015
97,2014-2015,Manchester United,Phil Jones,1874,33,17,16,0.0085378868729989,194957.0,/player/194957/phil-jones/150059/,P. Jones,Phil Jones,22.0,England,Manchester United,[England] Premier Le,CB,82.0,71kg / 157lbs,Right,78.0,CB,4.0,"Jul 1, 2011",,€5.5M,€70K,€0,321.0,63.0,49.0,74.0,76.0,59.0,263.0,58.0,37.0,34.0,66.0,68.0,309.0,63.0,68.0,43.0,77.0,58.0,366.0,67.0,84.0,79.0,78.0,58.0,314.0,84.0,77.0,41.0,58.0,54.0,,240.0,80.0,81.0,79.0,46.0,9.0,7.0,15.0,10.0,1859.0,404.0,3.0,2.0,Medium,High,2.0,66.0,55.0,64.0,60.0,79.0,80.0,2014-2015
98,2014-2015,Manchester United,Marcos Rojo,1763,37,19,18,0.0102098695405558,201862.0,/player/201862/marcos-rojo/150059/,M. Rojo,Marcos Rojo,24.0,Argentina,Manchester United,[England] Premier Le,CB,82.0,82kg / 181lbs,Left,78.0,CB,3.0,"Aug 20, 2014",,€7.5M,€100K,€0,319.0,74.0,51.0,81.0,65.0,48.0,316.0,64.0,52.0,56.0,79.0,65.0,357.0,73.0,76.0,73.0,73.0,62.0,387.0,78.0,86.0,78.0,83.0,62.0,335.0,85.0,78.0,54.0,55.0,63.0,,236.0,77.0,81.0,78.0,47.0,6.0,7.0,14.0,9.0,1997.0,427.0,2.0,2.0,Medium,Medium,3.0,75.0,59.0,66.0,66.0,79.0,82.0,2014-2015
99,2014-2015,Manchester United,Juan Mata,2298,40,24,16,0.0069625761531766,178088.0,/player/178088/juan-manuel-mata-garcia/150059/,Juan Mata,Juan Manuel Mata García,26.0,Spain,Manchester United,[England] Premier Le,CAM,85.0,63kg / 139lbs,Left,84.0,CAM,0.0,"Jan 25, 2014",,€27M,€190K,€0,383.0,83.0,77.0,66.0,86.0,71.0,414.0,85.0,82.0,81.0,78.0,88.0,415.0,83.0,66.0,90.0,87.0,89.0,338.0,74.0,72.0,79.0,41.0,72.0,334.0,52.0,39.0,84.0,88.0,71.0,,72.0,25.0,22.0,25.0,46.0,9.0,10.0,5.0,8.0,2002.0,405.0,3.0,4.0,Medium,Medium,3.0,74.0,75.0,84.0,87.0,31.0,54.0,2014-2015
100,2014-2015,Manchester United,Radamel Falcao,1258,25,14,11,0.0087440381558028,167397.0,/player/167397/radamel-falcao-garcia-zarate/150059/,Falcao,Radamel Falcao,28.0,Colombia,Manchester United,[England] Premier Le,ST,86.0,72kg / 159lbs,Right,84.0,ST,0.0,"Jul 1, 2013",,€40M,€230K,€0,391.0,55.0,86.0,92.0,69.0,89.0,368.0,78.0,83.0,71.0,53.0,83.0,396.0,77.0,72.0,85.0,87.0,75.0,392.0,79.0,92.0,71.0,73.0,77.0,353.0,70.0,41.0,87.0,68.0,87.0,,92.0,25.0,42.0,25.0,43.0,10.0,13.0,9.0,5.0,2035.0,415.0,4.0,4.0,High,Medium,4.0,74.0,83.0,64.0,81.0,40.0,73.0,2014-2015
