Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2017-2018,Watford,Chelsea,4,1,"['Orestis Karnezis', 'Daryl Janmaat', 'Sebastian Prödl', 'Adrian Mariappa', 'Gerard Deulofeu', 'Troy Deeney', 'Richarlison', 'Abdoulaye Doucouré', 'Marvin Zeegelaar', 'José Holebas', 'Étienne Capoue']","['Daniel Bachmann', 'Didier Ibrahim Ndong', 'Andre Gray', 'Dodi Lukebakio', 'André Carrillo', 'Roberto Pereyra', 'Joy Mukena']","['Thibaut Courtois', ""N'Golo Kanté"", 'Eden Hazard', 'Pedro', 'Tiemoué Bakayoko', 'Victor Moses', 'Davide Zappacosta', 'Willian', 'Gary Cahill', 'César Azpilicueta', 'David Luiz']","['Willy Caballero', 'Antonio Rüdiger', 'Cesc Fàbregas', 'Danny Drinkwater', 'Olivier Giroud', 'Emerson Palmieri', 'Callum Hudson-Odoi']","[42, 84, 88, 90]",[82],"[[65, 'Richarlison', 'Roberto Pereyra'], [89, 'Gerard Deulofeu', 'André Carrillo'], [90, 'Troy Deeney', 'Andre Gray']]","[[34, 'Willian', 'Cesc Fàbregas'], [64, 'Pedro', 'Olivier Giroud']]",[],"[[30, 'Tiemoué Bakayoko']]"
2017-2018,Tottenham Hotspur,Arsenal,1,0,"['Hugo Lloris', 'Kieran Trippier', 'Jan Vertonghen', 'Davinson Sánchez', 'Son Heung-min', 'Harry Kane', 'Eric Dier', 'Mousa Dembélé', 'Dele Alli', 'Christian Eriksen', 'Ben Davies']","['Michel Vorm', 'Danny Rose', 'Érik Lamela', 'Victor Wanyama', 'Moussa Sissoko', 'Serge Aurier', 'Lucas Moura']","['Petr Čech', 'Laurent Koscielny', 'Henrikh Mkhitaryan', 'Jack Wilshere', 'Mesut Özil', 'Pierre-Emerick Aubameyang', 'Nacho Monreal', 'Shkodran Mustafi', 'Héctor Bellerín', 'Granit Xhaka', 'Mohamed Elneny']","['David Ospina', 'Alexandre Lacazette', 'Alex Iwobi', 'Calum Chambers', 'Danny Welbeck', 'Ainsley Maitland-Niles', 'Sead Kolašinac']",[49],[],"[[70, 'Son Heung-min', 'Érik Lamela'], [85, 'Dele Alli', 'Victor Wanyama']]","[[65, 'Henrikh Mkhitaryan', 'Alexandre Lacazette'], [65, 'Mohamed Elneny', 'Alex Iwobi'], [86, 'Granit Xhaka', 'Danny Welbeck']]",[],[]
2017-2018,Everton,Crystal Palace,3,1,"['Jordan Pickford', 'Michael Keane', 'Wayne Rooney', 'Theo Walcott', 'Eliaquim Mangala', 'Cuco Martina', 'Idrissa Gana Gueye', 'Gylfi Sigurðsson', 'Oumar Niasse', 'Séamus Coleman', 'Tom Davies']","['Joel Robles', 'Morgan Schneiderlin', 'Ashley Williams', 'Yannick Bolasie', 'Cenk Tosun', 'Dominic Calvert-Lewin', 'Jonjoe Kenny']","['Wayne Hennessey', 'Joel Ward', 'Patrick van Aanholt', 'Luka Milivojević', 'James Tomkins', 'Yohan Cabaye', 'Alexander Sørloth', 'Andros Townsend', 'Christian Benteke', 'James McArthur', 'Timothy Fosu-Mensah']","['Dion-Curtis Henry', 'Lee Chung-yong', 'Pape Souaré', 'Damien Delaney', 'Aaron Wan-Bissaka', 'Erdal Rakip', 'Jaïro Riedewald']","[46, 51, 75]",[83],"[[45, 'Eliaquim Mangala', 'Ashley Williams'], [46, 'Séamus Coleman', 'Jonjoe Kenny'], [80, 'Idrissa Gana Gueye', 'Morgan Schneiderlin']]",[],[],[]
2017-2018,Swansea City,Burnley,1,0,"['Łukasz Fabiański', 'Ki Sung-yueng', 'Mike van der Hoorn', 'Alfie Mawson', 'Nathan Dyer', 'Tom Carroll', 'Martin Olsson', 'Sam Clucas', 'Jordan Ayew', 'Kyle Naughton', 'Federico Fernández']","['Kristoffer Nordfeldt', 'Tammy Abraham', 'Luciano Narsingh', 'Wayne Routledge', 'André Ayew', 'Andy King', 'Kyle Bartley']","['Nick Pope', 'Matthew Lowton', 'Charlie Taylor', 'Jack Cork', 'Ben Mee', 'Sam Vokes', 'Ashley Barnes', 'Jeff Hendrick', 'Jóhann Berg Guðmundsson', 'Aaron Lennon', 'Kevin Long']","['Anders Lindegaard', ""Georges-Kévin N'Koudou"", 'Ashley Westwood', 'Nahki Wells', 'Stephen Ward', 'Scott Arfield', ""Aiden O'Neill""]",[81],[],"[[59, 'Martin Olsson', 'André Ayew'], [74, 'Nathan Dyer', 'Tammy Abraham'], [90, 'Jordan Ayew', 'Andy King']]","[[74, 'Aaron Lennon', 'Scott Arfield'], [81, 'Sam Vokes', 'Nahki Wells'], [85, 'Jóhann Berg Guðmundsson', ""Georges-Kévin N'Koudou""]]",[],[]
2017-2018,Stoke City,Brighton & Hove Albion,1,1,"['Jack Butland', 'Moritz Bauer', 'Erik Pieters', 'Joe Allen', 'Kurt Zouma', 'Eric Maxim Choupo-Moting', 'Ryan Shawcross', 'Mame Biram Diouf', 'Xherdan Shaqiri', 'Darren Fletcher', 'Badou Ndiaye']","['Lee Grant', 'Glen Johnson', 'Saido Berahino', 'Jesé', 'Charlie Adam', 'Geoff Cameron', 'Ramadan Sobhi']","['Mathew Ryan', 'Gaëtan Bong', 'Lewis Dunk', 'Dale Stephens', 'Pascal Groß', 'Glenn Murray', 'José Izquierdo', 'Solly March', 'Ezequiel Schelotto', 'Shane Duffy', 'Davy Pröpper']","['Tim Krul', 'Bruno', 'Beram Kayal', 'Anthony Knockaert', 'Leonardo Ulloa', 'Connor Goldson', 'Jürgen Locadia']",[68],[32],"[[46, 'Darren Fletcher', 'Saido Berahino'], [62, 'Eric Maxim Choupo-Moting', 'Jesé'], [79, 'Badou Ndiaye', 'Charlie Adam']]","[[71, 'Glenn Murray', 'Leonardo Ulloa'], [79, 'Pascal Groß', 'Beram Kayal'], [86, 'Solly March', 'Anthony Knockaert']]",[],[]
2017-2018,West Ham United,Watford,2,0,"['Adrián', 'Aaron Cresswell', 'Pablo Zabaleta', 'Marko Arnautović', 'Cheikhou Kouyaté', 'Mark Noble', 'Javier Hernández', 'João Mário', 'James Collins', 'Angelo Ogbonna', 'Michail Antonio']","['Joe Hart', 'José Fonte', 'Jordan Hugill', 'Sam Byram', 'Patrice Evra', 'Josh Cullen', 'Declan Rice']","['Orestis Karnezis', 'Daryl Janmaat', 'Sebastian Prödl', 'Adrian Mariappa', 'Gerard Deulofeu', 'Troy Deeney', 'Richarlison', 'Abdoulaye Doucouré', 'Marvin Zeegelaar', 'José Holebas', 'Étienne Capoue']","['Daniel Bachmann', 'Didier Ibrahim Ndong', 'Andre Gray', 'Dodi Lukebakio', 'André Carrillo', 'Roberto Pereyra', 'Joy Mukena']","[38, 78]",[],"[[77, 'João Mário', 'Sam Byram'], [84, 'Marko Arnautović', 'Declan Rice'], [88, 'Javier Hernández', 'Jordan Hugill']]","[[56, 'Marvin Zeegelaar', 'Roberto Pereyra'], [75, 'Gerard Deulofeu', 'Dodi Lukebakio'], [82, 'Richarlison', 'Andre Gray']]",[],[]
2017-2018,Manchester City,Leicester City,5,1,"['Ederson', 'Kyle Walker', 'Raheem Sterling', 'İlkay Gündoğan', 'Sergio Agüero', 'Aymeric Laporte', 'Kevin De Bruyne', 'Bernardo Silva', 'Fernandinho', 'Nicolás Otamendi', 'Oleksandr Zinchenko']","['Claudio Bravo', 'Danilo', 'Vincent Kompany', 'John Stones', 'Lukas Nmecha', 'Phil Foden', 'Brahim Díaz']","['Kasper Schmeichel', 'Ben Chilwell', 'Jamie Vardy', 'Marc Albrighton', 'Adrien Silva', 'Harry Maguire', 'Aleksandar Dragović', 'Matty James', 'Wilfred Ndidi', 'Christian Fuchs', 'Fousseni Diabaté']","['Eldin Jakupović', 'Danny Simpson', 'Demarai Gray', 'Kelechi Iheanacho', 'Vicente Iborra', 'Riyad Mahrez', 'Yohan Benalouane']","[3, 48, 53, 77, 90]",[24],"[[65, 'Oleksandr Zinchenko', 'Danilo'], [80, 'Fernandinho', 'Phil Foden'], [81, 'Nicolás Otamendi', 'John Stones']]","[[46, 'Adrien Silva', 'Danny Simpson'], [62, 'Fousseni Diabaté', 'Riyad Mahrez'], [62, 'Ben Chilwell', 'Kelechi Iheanacho']]",[],[]
2017-2018,Huddersfield Town,Bournemouth,4,1,"['Jonas Lössl', 'Scott Malone', 'Jonathan Hogg', 'Aaron Mooy', 'Rajiv van La Parra', 'Alex Pritchard', 'Tom Ince', 'Steve Mounié', 'Mathias Jørgensen', 'Christopher Schindler', 'Florent Hadergjonaj']","['Joel Coleman', 'Terence Kongolo', 'Philip Billing', 'Abdelhamid Sabiri', 'Danny Williams', 'Collin Quaner', 'Michael Hefele']","['Asmir Begović', 'Simon Francis', 'Steve Cook', 'Dan Gosling', 'Nathan Aké', 'Charlie Daniels', 'Callum Wilson', 'Lewis Cook', 'Junior Stanislas', 'Ryan Fraser', 'Jordon Ibe']","['Artur Boruc', 'Andrew Surman', 'Harry Arter', 'Adam Smith', 'Joshua King', 'Lys Mousset', 'Jack Simpson']","[7, 27, 90]",[13],"[[52, 'Scott Malone', 'Terence Kongolo'], [65, 'Tom Ince', 'Collin Quaner'], [76, 'Aaron Mooy', 'Philip Billing']]","[[58, 'Jordon Ibe', 'Joshua King'], [65, 'Junior Stanislas', 'Lys Mousset'], [70, 'Steve Cook', 'Adam Smith']]",[],[]
2017-2018,Newcastle United,Manchester United,1,0,"['Martin Dúbravka', 'Paul Dummett', 'Jamaal Lascelles', 'Jonjo Shelvey', 'Dwight Gayle', 'Mohamed Diamé', 'Matt Ritchie', 'Kenedy', 'Ayoze Pérez', 'Florian Lejeune', 'DeAndre Yedlin']","['Karl Darlow', 'Jacob Murphy', 'Isaac Hayden', 'Javier Manquillo', 'Joselu', 'Mikel Merino', 'Christian Atsu']","['David de Gea', 'Phil Jones', 'Paul Pogba', 'Alexis Sánchez', 'Romelu Lukaku', 'Anthony Martial', 'Chris Smalling', 'Jesse Lingard', 'Ashley Young', 'Antonio Valencia', 'Nemanja Matić']","['Sergio Romero', 'Victor Lindelöf', 'Marcos Rojo', 'Juan Mata', 'Michael Carrick', 'Luke Shaw', 'Scott McTominay']",[65],[],"[[80, 'Dwight Gayle', 'Joselu'], [84, 'Kenedy', 'Christian Atsu'], [90, 'Ayoze Pérez', 'Isaac Hayden']]","[[66, 'Paul Pogba', 'Michael Carrick'], [66, 'Jesse Lingard', 'Juan Mata'], [77, 'Nemanja Matić', 'Scott McTominay']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2017-2018,Southampton,Liverpool,0,2,"['Alex McCarthy', 'Cédric Soares', 'Jack Stephens', 'Wesley Hoedt', 'Guido Carrillo', 'Dušan Tadić', 'Oriol Romeu', 'James Ward-Prowse', 'Mario Lemina', 'Ryan Bertrand', 'Pierre Højbjerg']","['Fraser Forster', 'Maya Yoshida', 'Shane Long', 'Steven Davis', 'Sofiane Boufal', 'Manolo Gabbiadini', 'Nathan Redmond']","['Loris Karius', 'Virgil van Dijk', 'Georginio Wijnaldum', 'Roberto Firmino', 'Mohamed Salah', 'Sadio Mané', 'Alex Oxlade-Chamberlain', 'Emre Can', 'Andrew Robertson', 'Joël Matip', 'Trent Alexander-Arnold']","['Simon Mignolet', 'Dejan Lovren', 'James Milner', 'Alberto Moreno', 'Adam Lallana', 'Danny Ings', 'Dominic Solanke']",[],"[6, 42]","[[57, 'Mario Lemina', 'Sofiane Boufal'], [71, 'James Ward-Prowse', 'Shane Long'], [80, 'Oriol Romeu', 'Steven Davis']]","[[60, 'Alex Oxlade-Chamberlain', 'James Milner'], [79, 'Roberto Firmino', 'Adam Lallana'], [89, 'Mohamed Salah', 'Dejan Lovren']]",[],[]
2017-2018,Chelsea,West Bromwich Albion,3,0,"['Thibaut Courtois', 'Antonio Rüdiger', 'Cesc Fàbregas', ""N'Golo Kanté"", 'Eden Hazard', 'Pedro', 'Victor Moses', 'Olivier Giroud', 'Davide Zappacosta', 'Andreas Christensen', 'César Azpilicueta']","['Willy Caballero', 'Danny Drinkwater', 'Álvaro Morata', 'Willian', 'Gary Cahill', 'Emerson Palmieri', 'Ethan Ampadu']","['Ben Foster', 'Kieran Gibbs', 'Jonny Evans', 'Salomón Rondón', 'Matt Phillips', 'Chris Brunt', 'Daniel Sturridge', 'Gareth Barry', 'Grzegorz Krychowiak', 'Craig Dawson', 'Ahmed Hegazi']","['Boaz Myhill', 'Allan Nyom', 'Claudio Yacob', 'James McClean', 'Oliver Burke', 'Jay Rodriguez', 'Gareth McAuley']","[25, 63, 71]",[],"[[61, 'Olivier Giroud', 'Álvaro Morata'], [74, 'Andreas Christensen', 'Gary Cahill'], [80, 'Pedro', 'Willian']]","[[4, 'Daniel Sturridge', 'Jay Rodriguez'], [46, 'Chris Brunt', 'Oliver Burke'], [80, 'Gareth Barry', 'Claudio Yacob']]",[],[]
2017-2018,Leicester City,Stoke City,1,1,"['Kasper Schmeichel', 'Danny Simpson', 'Ben Chilwell', 'Wes Morgan', 'Demarai Gray', 'Jamie Vardy', 'Marc Albrighton', 'Harry Maguire', 'Matty James', 'Wilfred Ndidi', 'Riyad Mahrez']","['Eldin Jakupović', 'Kelechi Iheanacho', 'Adrien Silva', 'Aleksandar Dragović', 'Vicente Iborra', 'Christian Fuchs', 'Fousseni Diabaté']","['Jack Butland', 'Moritz Bauer', 'Joe Allen', 'Kurt Zouma', 'Eric Maxim Choupo-Moting', 'Bruno Martins Indi', 'Mame Biram Diouf', 'Geoff Cameron', 'Kostas Stafylidis', 'Xherdan Shaqiri', 'Badou Ndiaye']","['Lee Grant', 'Erik Pieters', 'Glen Johnson', 'Jesé', 'Charlie Adam', 'Ramadan Sobhi', 'Tyrese Campbell']",[],[43],"[[61, 'Demarai Gray', 'Fousseni Diabaté'], [62, 'Danny Simpson', 'Kelechi Iheanacho']]","[[64, 'Mame Biram Diouf', 'Tyrese Campbell'], [74, 'Bruno Martins Indi', 'Charlie Adam'], [84, 'Eric Maxim Choupo-Moting', 'Glen Johnson']]",[],[]
2017-2018,West Bromwich Albion,Huddersfield Town,1,2,"['Ben Foster', 'Kieran Gibbs', 'Jonny Evans', 'Salomón Rondón', 'Matt Phillips', 'James McClean', 'Gareth Barry', 'Jay Rodriguez', 'Grzegorz Krychowiak', 'Craig Dawson', 'Ahmed Hegazi']","['Boaz Myhill', 'Allan Nyom', 'Claudio Yacob', 'Jake Livermore', 'Chris Brunt', 'Oliver Burke', 'Gareth McAuley']","['Jonas Lössl', 'Terence Kongolo', 'Jonathan Hogg', 'Rajiv van La Parra', 'Danny Williams', 'Alex Pritchard', 'Collin Quaner', 'Steve Mounié', 'Mathias Jørgensen', 'Christopher Schindler', 'Florent Hadergjonaj']","['Joel Coleman', 'Tommy Smith', 'Scott Malone', 'Dean Whitehead', 'Abdelhamid Sabiri', 'Laurent Depoitre', 'Tom Ince']",[64],"[48, 56]","[[57, 'James McClean', 'Chris Brunt'], [69, 'Gareth Barry', 'Jake Livermore'], [81, 'Matt Phillips', 'Oliver Burke']]","[[53, 'Florent Hadergjonaj', 'Tommy Smith'], [77, 'Alex Pritchard', 'Laurent Depoitre'], [89, 'Rajiv van La Parra', 'Tom Ince']]",[],[]
2017-2018,Bournemouth,Newcastle United,2,2,"['Asmir Begović', 'Simon Francis', 'Steve Cook', 'Dan Gosling', 'Nathan Aké', 'Charlie Daniels', 'Callum Wilson', 'Lewis Cook', 'Joshua King', 'Junior Stanislas', 'Ryan Fraser']","['Artur Boruc', 'Andrew Surman', 'Marc Pugh', 'Adam Smith', 'Jermain Defoe', 'Lys Mousset', 'Jack Simpson']","['Martin Dúbravka', 'Paul Dummett', 'Jamaal Lascelles', 'Jonjo Shelvey', 'Dwight Gayle', 'Mohamed Diamé', 'Matt Ritchie', 'Kenedy', 'Ayoze Pérez', 'Florian Lejeune', 'DeAndre Yedlin']","['Karl Darlow', 'Ciaran Clark', 'Isaac Hayden', 'Javier Manquillo', 'Joselu', 'Mikel Merino', 'Christian Atsu']","[80, 89]","[17, 45]","[[46, 'Charlie Daniels', 'Adam Smith'], [63, 'Ryan Fraser', 'Lys Mousset'], [73, 'Callum Wilson', 'Jermain Defoe']]","[[64, 'Kenedy', 'Christian Atsu'], [78, 'Dwight Gayle', 'Isaac Hayden'], [84, 'Matt Ritchie', 'Javier Manquillo']]",[],[]
2017-2018,Liverpool,West Ham United,4,1,"['Loris Karius', 'Virgil van Dijk', 'James Milner', 'Roberto Firmino', 'Mohamed Salah', 'Sadio Mané', 'Alex Oxlade-Chamberlain', 'Emre Can', 'Andrew Robertson', 'Joël Matip', 'Trent Alexander-Arnold']","['Simon Mignolet', 'Dejan Lovren', 'Joe Gomez', 'Jordan Henderson', 'Alberto Moreno', 'Adam Lallana', 'Dominic Solanke']","['Adrián', 'Aaron Cresswell', 'Pablo Zabaleta', 'Marko Arnautović', 'Cheikhou Kouyaté', 'Manuel Lanzini', 'Mark Noble', 'João Mário', 'James Collins', 'Angelo Ogbonna', 'Patrice Evra']","['Joe Hart', 'Winston Reid', 'Jordan Hugill', 'Javier Hernández', 'Sam Byram', 'Michail Antonio', 'Declan Rice']","[29, 51, 57, 77]",[59],"[[82, 'Roberto Firmino', 'Adam Lallana'], [87, 'Sadio Mané', 'Alberto Moreno'], [87, 'Mohamed Salah', 'Dominic Solanke']]","[[58, 'Manuel Lanzini', 'Michail Antonio'], [83, 'Marko Arnautović', 'Javier Hernández'], [83, 'João Mário', 'Declan Rice']]",[],[]
2017-2018,Burnley,Southampton,1,1,"['Nick Pope', 'Matthew Lowton', 'Jack Cork', 'Ben Mee', 'Ashley Barnes', 'Jeff Hendrick', 'Jóhann Berg Guðmundsson', 'Ashley Westwood', 'Stephen Ward', 'Aaron Lennon', 'Kevin Long']","['Anders Lindegaard', 'Charlie Taylor', ""Georges-Kévin N'Koudou"", 'Dean Marney', 'Sam Vokes', 'Chris Wood', 'Phil Bardsley']","['Alex McCarthy', 'Cédric Soares', 'Jack Stephens', 'Wesley Hoedt', 'Guido Carrillo', 'Dušan Tadić', 'Oriol Romeu', 'James Ward-Prowse', 'Mario Lemina', 'Ryan Bertrand', 'Nathan Redmond']","['Fraser Forster', 'Sofiane Boufal', 'Manolo Gabbiadini', 'Pierre Højbjerg', 'Jérémy Pied', 'Jan Bednarek', 'Josh Sims']",[67],[90],[],"[[68, 'James Ward-Prowse', 'Josh Sims'], [75, 'Oriol Romeu', 'Sofiane Boufal'], [81, 'Dušan Tadić', 'Manolo Gabbiadini']]",[],[]
2017-2018,Brighton & Hove Albion,Swansea City,4,1,"['Mathew Ryan', 'Gaëtan Bong', 'Lewis Dunk', 'Dale Stephens', 'Anthony Knockaert', 'Pascal Groß', 'Glenn Murray', 'José Izquierdo', 'Ezequiel Schelotto', 'Shane Duffy', 'Davy Pröpper']","['Tim Krul', 'Bruno', 'Beram Kayal', 'Leonardo Ulloa', 'Connor Goldson', 'Solly March', 'Jürgen Locadia']","['Łukasz Fabiański', 'Ki Sung-yueng', 'Mike van der Hoorn', 'Alfie Mawson', 'Nathan Dyer', 'Tom Carroll', 'Martin Olsson', 'Sam Clucas', 'Jordan Ayew', 'Kyle Naughton', 'Federico Fernández']","['Kristoffer Nordfeldt', 'Tammy Abraham', 'Luciano Narsingh', 'Wayne Routledge', 'André Ayew', 'Andy King', 'Kyle Bartley']","[18, 69, 73, 90]",[],"[[79, 'Anthony Knockaert', 'Solly March'], [82, 'Glenn Murray', 'Jürgen Locadia'], [90, 'Pascal Groß', 'Beram Kayal']]","[[36, 'Nathan Dyer', 'André Ayew'], [46, 'Mike van der Hoorn', 'Luciano Narsingh'], [66, 'Tom Carroll', 'Tammy Abraham']]",[],[]
2017-2018,Watford,Everton,1,0,"['Orestis Karnezis', 'Daryl Janmaat', 'Sebastian Prödl', 'Adrian Mariappa', 'Gerard Deulofeu', 'Troy Deeney', 'Richarlison', 'Abdoulaye Doucouré', 'José Holebas', 'Étienne Capoue', 'Roberto Pereyra']","['Heurelho Gomes', 'Miguel Britos', 'Andre Gray', 'Kiko Femenía', 'Marvin Zeegelaar', 'André Carrillo', 'Stefano Okaka']","['Jordan Pickford', 'Michael Keane', 'Ashley Williams', 'Wayne Rooney', 'Theo Walcott', 'Cuco Martina', 'Idrissa Gana Gueye', 'Gylfi Sigurðsson', 'Oumar Niasse', 'Tom Davies', 'Jonjoe Kenny']","['Joel Robles', 'Morgan Schneiderlin', 'Yannick Bolasie', 'Cenk Tosun', 'Dominic Calvert-Lewin', 'Mason Holgate', 'Luke Garbutt']",[79],[],"[[56, 'Roberto Pereyra', 'Stefano Okaka'], [56, 'Richarlison', 'Kiko Femenía'], [63, 'Gerard Deulofeu', 'André Carrillo']]","[[57, 'Oumar Niasse', 'Cenk Tosun'], [82, 'Gylfi Sigurðsson', 'Yannick Bolasie'], [82, 'Wayne Rooney', 'Dominic Calvert-Lewin']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2017-2018,Crystal Palace,Tottenham Hotspur,0,1,"['Wayne Hennessey', 'Patrick van Aanholt', 'Luka Milivojević', 'James Tomkins', 'Alexander Sørloth', 'Andros Townsend', 'Christian Benteke', 'James McArthur', 'Timothy Fosu-Mensah', 'Aaron Wan-Bissaka', 'Jaïro Riedewald']","['Dion-Curtis Henry', 'Lee Chung-yong', 'Pape Souaré', 'Damien Delaney', 'Jason Lokilo', 'Erdal Rakip', 'Nya Kirby']","['Hugo Lloris', 'Davinson Sánchez', 'Harry Kane', 'Érik Lamela', 'Victor Wanyama', 'Eric Dier', 'Mousa Dembélé', 'Dele Alli', 'Christian Eriksen', 'Serge Aurier', 'Ben Davies']","['Michel Vorm', 'Kieran Trippier', 'Danny Rose', 'Son Heung-min', 'Moussa Sissoko', 'Juan Foyth', 'Lucas Moura']",[],[88],"[[85, 'James Tomkins', 'Damien Delaney'], [87, 'Andros Townsend', 'Lee Chung-yong']]","[[66, 'Érik Lamela', 'Lucas Moura'], [80, 'Mousa Dembélé', 'Son Heung-min']]",[],[]
2017-2018,Manchester United,Chelsea,2,1,"['David de Gea', 'Victor Lindelöf', 'Paul Pogba', 'Alexis Sánchez', 'Romelu Lukaku', 'Anthony Martial', 'Chris Smalling', 'Ashley Young', 'Antonio Valencia', 'Nemanja Matić', 'Scott McTominay']","['Joel Castro Pereira', 'Eric Bailly', 'Juan Mata', 'Jesse Lingard', 'Michael Carrick', 'Marcus Rashford', 'Luke Shaw']","['Thibaut Courtois', 'Antonio Rüdiger', 'Marcos Alonso', 'Danny Drinkwater', ""N'Golo Kanté"", 'Álvaro Morata', 'Eden Hazard', 'Victor Moses', 'Willian', 'Andreas Christensen', 'César Azpilicueta']","['Willy Caballero', 'Cesc Fàbregas', 'Pedro', 'Olivier Giroud', 'Davide Zappacosta', 'Gary Cahill', 'Emerson Palmieri']","[39, 75]",[32],"[[64, 'Anthony Martial', 'Jesse Lingard'], [81, 'Alexis Sánchez', 'Eric Bailly']]","[[73, 'Eden Hazard', 'Pedro'], [78, 'Victor Moses', 'Olivier Giroud'], [81, 'Danny Drinkwater', 'Cesc Fàbregas']]",[],[]
2017-2018,Arsenal,Manchester City,0,3,"['Petr Čech', 'Laurent Koscielny', 'Henrikh Mkhitaryan', 'Aaron Ramsey', 'Mesut Özil', 'Pierre-Emerick Aubameyang', 'Shkodran Mustafi', 'Danny Welbeck', 'Héctor Bellerín', 'Granit Xhaka', 'Sead Kolašinac']","['David Ospina', 'Rob Holding', 'Alex Iwobi', 'Calum Chambers', 'Ainsley Maitland-Niles', 'Mohamed Elneny', 'Eddie Nketiah']","['Ederson', 'Kyle Walker', 'Danilo', 'Vincent Kompany', 'İlkay Gündoğan', 'Sergio Agüero', 'Kevin De Bruyne', 'Leroy Sané', 'Bernardo Silva', 'David Silva', 'Nicolás Otamendi']","['Claudio Bravo', 'John Stones', 'Aymeric Laporte', 'Gabriel Jesus', 'Oleksandr Zinchenko', 'Yaya Touré', 'Phil Foden']",[],"[15, 28, 33]",[],"[[72, 'Kyle Walker', 'Oleksandr Zinchenko'], [82, 'Sergio Agüero', 'Yaya Touré'], [87, 'David Silva', 'Gabriel Jesus']]",[],[]
2017-2018,Burnley,Everton,2,1,"['Nick Pope', 'Matthew Lowton', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Ashley Barnes', 'Jeff Hendrick', 'Jóhann Berg Guðmundsson', 'Ashley Westwood', 'Stephen Ward', 'Aaron Lennon']","['Anders Lindegaard', ""Georges-Kévin N'Koudou"", 'Dean Marney', 'Sam Vokes', 'Chris Wood', 'Phil Bardsley', 'Kevin Long']","['Jordan Pickford', 'Michael Keane', 'Ashley Williams', 'Theo Walcott', 'Cenk Tosun', 'Cuco Martina', 'Idrissa Gana Gueye', 'Gylfi Sigurðsson', 'Séamus Coleman', 'Tom Davies', 'Dominic Calvert-Lewin']","['Joel Robles', 'Morgan Schneiderlin', 'Leighton Baines', 'Yannick Bolasie', 'Wayne Rooney', 'Oumar Niasse', 'Mason Holgate']","[56, 80]",[20],"[[46, 'Jeff Hendrick', 'Chris Wood']]","[[59, 'Tom Davies', 'Wayne Rooney'], [68, 'Cenk Tosun', 'Oumar Niasse'], [83, 'Gylfi Sigurðsson', 'Yannick Bolasie']]",[],"[[86, 'Ashley Williams']]"
2017-2018,Watford,West Bromwich Albion,1,0,"['Orestis Karnezis', 'Daryl Janmaat', 'Sebastian Prödl', 'Adrian Mariappa', 'Troy Deeney', 'Richarlison', 'Abdoulaye Doucouré', 'José Holebas', 'André Carrillo', 'Étienne Capoue', 'Roberto Pereyra']","['Heurelho Gomes', 'Miguel Britos', 'Andre Gray', 'Will Hughes', 'Dodi Lukebakio', 'Marvin Zeegelaar', 'Stefano Okaka']","['Ben Foster', 'Kieran Gibbs', 'Jonny Evans', 'Jake Livermore', 'Salomón Rondón', 'Matt Phillips', 'Chris Brunt', 'Jay Rodriguez', 'Grzegorz Krychowiak', 'Craig Dawson', 'Ahmed Hegazi']","['Boaz Myhill', 'Allan Nyom', 'Claudio Yacob', 'James McClean', 'Oliver Burke', 'Gareth McAuley', 'Sam Field']",[77],[],"[[54, 'Richarlison', 'Stefano Okaka'], [66, 'André Carrillo', 'Will Hughes'], [90, 'José Holebas', 'Miguel Britos']]","[[81, 'Grzegorz Krychowiak', 'James McClean'], [87, 'Jay Rodriguez', 'Oliver Burke'], [87, 'Jake Livermore', 'Sam Field']]",[],[]
