,Season,Name,Age,Age_Squared,Min,Height,Position,Aerial_duels_per90,Assists_per90,Goals_per90,League,Squad
1,2018-2019,Martin Kelly,28,784,1111.0,191cm," DF-MF (CB-FB, right)",2.8455284552845526,0.0,0.0,1. Premier League,Crystal Palace
2,2019-2020,Martin Kelly,29,841,1549.0,191cm," DF-MF (CB-FB, right)",1.9186046511627908,0.06,0.0,1. Premier League,Crystal Palace
3,2020-2021,Martin Kelly,30,900,2.0,191cm," DF-MF (CB-FB, right)",0.0,0.0,0.0,1. Premier League,Crystal Palace
0,2017-2018,Moussa Sissoko,27,729,1386.0,187cm," MF (AM-CM-DM, right)",0.974025974025974,0.06,0.06,1. Premier League,Tottenham
1,2018-2019,Moussa Sissoko,28,784,2330.0,187cm," MF (AM-CM-DM, right)",0.888030888030888,0.12,0.0,1. Premier League,Tottenham
2,2019-2020,Moussa Sissoko,29,841,2452.0,187cm," MF (AM-CM-DM, right)",0.9558823529411765,0.04,0.07,1. Premier League,Tottenham
3,2020-2021,Moussa Sissoko,30,900,1585.0,187cm," MF (AM-CM-DM, right)",0.9090909090909091,0.0,0.0,1. Premier League,Tottenham
4,2021-2022,Moussa Sissoko,31,961,3220.0,187cm," MF (AM-CM-DM, right)",1.787709497206704,0.03,0.06,1. Premier League,Watford
0,2017-2018,Kyle Bartley,26,676,235.0,191cm, DF (CB),5.384615384615384,0.0,0.0,1. Premier League,Swansea City
1,2020-2021,Kyle Bartley,29,841,2584.0,191cm, DF (CB),3.658536585365854,0.03,0.1,1. Premier League,West Brom
0,2020-2021,Kalvin Phillips,24,576,2428.0,177cm, DF-MF (DM),1.1111111111111112,0.07,0.04,1. Premier League,Leeds United
1,2021-2022,Kalvin Phillips,25,625,1596.0,177cm, DF-MF (DM),0.96045197740113,0.06,0.0,1. Premier League,Leeds United
2,2022-2023,Kalvin Phillips,26,676,109.0,177cm, DF-MF (DM),0.0,0.0,0.0,1. Premier League,Manchester City
0,2017-2018,Laurent Depoitre,28,784,1820.0,191cm, FW,6.237623762376238,0.05,0.3,1. Premier League,Huddersfield
1,2018-2019,Laurent Depoitre,29,841,1068.0,191cm, FW,6.722689075630252,0.08,0.0,1. Premier League,Huddersfield
0,2018-2019,Issa Diop,21,441,2970.0,194cm, DF (CB),2.272727272727273,0.0,0.03,1. Premier League,West Ham
1,2019-2020,Issa Diop,22,484,2766.0,194cm, DF (CB),2.5732899022801305,0.03,0.1,1. Premier League,West Ham
2,2020-2021,Issa Diop,23,529,1381.0,194cm, DF (CB),1.5686274509803921,0.0,0.13,1. Premier League,West Ham
3,2021-2022,Issa Diop,24,576,963.0,194cm, DF (CB),1.4953271028037385,0.09,0.0,1. Premier League,West Ham
4,2022-2023,Issa Diop,25,625,1506.0,194cm, DF (CB),1.4970059880239521,0.0,0.06,1. Premier League,Fulham
0,2017-2018,Harry Winks,21,441,774.0,178cm, MF (CM-DM),0.46511627906976744,0.12,0.0,1. Premier League,Tottenham
1,2018-2019,Harry Winks,22,484,1597.0,178cm, MF (CM-DM),0.6779661016949153,0.0,0.06,1. Premier League,Tottenham
